Sz, PartSz, Time
100, 3, 0.00
200, 3, 0.00
300, 3, 0.00
400, 3, 0.00
500, 3, 0.00
600, 3, 0.00
700, 3, 0.00
800, 3, 0.00
900, 3, 0.00
1000, 3, 0.00
1100, 3, 0.00
1200, 3, 0.00
1300, 3, 0.00
1400, 3, 0.00
1500, 3, 0.00
1600, 3, 0.00
1700, 3, 0.00
1800, 3, 0.00
1900, 3, 0.00
2000, 3, 0.00
2100, 3, 0.00
2200, 3, 0.00
2300, 3, 0.00
2400, 3, 0.00
2500, 3, 0.00
2600, 3, 0.00
2700, 3, 0.00
2800, 3, 0.00
2900, 3, 0.00
3000, 3, 0.00
3100, 3, 0.00
3200, 3, 0.00
3300, 3, 0.00
3400, 3, 0.00
3500, 3, 1.00
3600, 3, 0.00
3700, 3, 0.00
3800, 3, 0.00
3900, 3, 0.00
4000, 3, 0.00
4100, 3, 0.00
4200, 3, 0.00
4300, 3, 0.00
4400, 3, 0.00
4500, 3, 0.00
4600, 3, 0.00
4700, 3, 0.00
4800, 3, 0.00
4900, 3, 0.00
5000, 3, 0.00
5100, 3, 0.00
5200, 3, 0.00
5300, 3, 0.00
5400, 3, 0.00
5500, 3, 0.00
5600, 3, 0.00
5700, 3, 0.00
5800, 3, 0.00
5900, 3, 0.00
6000, 3, 0.00
6100, 3, 0.00
6200, 3, 0.00
6300, 3, 0.00
6400, 3, 0.00
6500, 3, 0.00
6600, 3, 0.00
6700, 3, 0.00
6800, 3, 0.00
6900, 3, 0.00
7000, 3, 0.00
7100, 3, 0.00
7200, 3, 0.00
7300, 3, 0.00
7400, 3, 0.00
7500, 3, 0.00
7600, 3, 1.00
7700, 3, 0.00
7800, 3, 0.00
7900, 3, 0.00
8000, 3, 0.00
8100, 3, 0.00
8200, 3, 0.00
8300, 3, 1.00
8400, 3, 0.00
8500, 3, 0.00
8600, 3, 0.00
8700, 3, 0.00
8800, 3, 0.00
8900, 3, 0.20
9000, 3, 0.00
